Composer,Name,Period,Style,Trajectory Type,Kalz Centrality,Global Clustering,Square Clustering,Harmonic Centrality,Closeness Centrality,Tonnetz,Instruments,Number Of Instr,Tempo,Time Signature
beethoven,Coriolan,middle,classical,Trajectory With Future,0.087357828214968,0.187179487179487,0.254004429984542,39.3903574290236,0.05620609820884,"[3, 4, 5]","['Clarinet', 'Horn', 'Trumpet', 'Oboe', 'Bassoon', 'StringInstrument', 'Flute', 'Timpani']",8,199,['4/4']
beethoven,Leonore1,middle,classical,Trajectory With Future,0.092873534666325,0.199470899470899,0.229290841014416,37.8655844155846,0.069290955750165,"[3, 4, 5]","['Clarinet', 'Horn', 'Trumpet', 'Brass', 'Oboe', 'Bassoon', 'StringInstrument', 'Flute', 'Timpani']",9,209,"['4/4', '2/2', '3/4']"
beethoven,Leonore2,middle,classical,Trajectory With Future,0.07060113811292,0.217876344086021,0.316956423894625,30.6863969363969,0.028054254881892,"[3, 4, 5]","['Clarinet', 'Horn', 'Trumpet', 'Brass', 'Oboe', 'Bassoon', 'StringInstrument', 'Trombone', 'Flute', 'Timpani']",10,214,"['2/2', '3/4']"
beethoven,Leonore3,middle,classical,Trajectory With Future,0.093011537527835,0.190625,0.277137321520116,33.4936144050308,0.046468038923802,"[3, 4, 5]","['Clarinet', 'Horn', 'Trumpet', 'Brass', 'Oboe', 'Bassoon', 'StringInstrument', 'Trombone', 'Flute', 'Timpani']",10,202,"['2/2', '3/4']"
beethoven,String Quartet n1 op18 1mov,early,classical,Trajectory With Future,0.077073856618242,0.202604166666667,0.224671110669964,46.019552153301,0.045893719806763,"[3, 4, 5]",['StringInstrument'],1,155,['3/4']
beethoven,String Quartet n1 op18 2mov,early,classical,Trajectory With Future,0.085308452854652,0.175382262996942,0.229741615486759,35.7301171824392,0.048644071500372,"[3, 4, 5]",['StringInstrument'],1,169,['9/8']
beethoven,String Quartet n1 op18 3mov,early,classical,Trajectory With Future,0.085346795417507,0.200467289719626,0.332275081583606,35.9369576650233,0.052887299890539,"[3, 4, 5]",['StringInstrument'],1,238,['3/4']
beethoven,String Quartet n1 op18 4mov,early,classical,Trajectory With Future,0.064597019859834,0.18108660130719,0.263106208049128,28.4721355562693,0.020086518798175,"[2, 3, 7]",['StringInstrument'],1,211,['2/4']
beethoven,String Quartet n16 op135 1mov,late,classical,Trajectory With Future,0.083757163589232,0.213372093023256,0.287536878532982,28.5556628256121,0.0380019858782,"[3, 4, 5]",['Piano'],1,201,['2/4']
beethoven,String Quartet n16 op135 2mov,late,classical,Trajectory With Future,0.130930192922341,0.225757575757576,0.239858433626431,21.3130960542725,0.06800539083558,"[3, 4, 5]",['Piano'],1,247,['3/4']
beethoven,String Quartet n16 op135 3mov,late,classical,Trajectory With Future,0.101074122805854,0.222139303482587,0.340894862558766,21.1049159569734,0.039625609231399,"[3, 4, 5]",['Piano'],1,58,['6/8']
beethoven,String Quartet n2 op18 n2 1mov,early,classical,Trajectory With Future,0.067621611714531,0.201255020080321,0.23731290059185,48.1251681325215,0.053133096470667,"[3, 4, 5]",['Piano'],1,185,['2/4']
beethoven,String Quartet n2 op18 n2 3mov,early,classical,Trajectory With Future,0.077034552541667,0.211070110701107,0.302850351403726,29.1574758574759,0.038594359161087,"[3, 4, 5]",['Piano'],1,232,['3/4']
beethoven,String Quartet n2 op18 n2 4mov,early,classical,Trajectory With Future,0.074317223604952,0.188643533123028,0.255609559639322,29.3244513183888,0.023117372925788,"[3, 4, 5]",['Piano'],1,161,['2/4']
beethoven,Symphonie1_Opus21_Mvt1,early,classical,Trajectory With Future,0.06871962608079,0.207046070460705,0.304334964683782,33.9540301202067,0.030793401413983,"[3, 4, 5]","['Clarinet', 'Horn', 'Trumpet', 'Oboe', 'Bassoon', 'StringInstrument', 'Flute', 'Timpani']",8,217,['4/4']
beethoven,Symphonie1_Opus21_Mvt2,early,classical,Trajectory With Future,0.096062410774764,0.206375227686703,0.316662688857917,19.3659812409812,0.033511253779254,"[3, 4, 5]","['Clarinet', 'Horn', 'Trumpet', 'Oboe', 'Bassoon', 'StringInstrument', 'Flute', 'Timpani']",8,205,['3/8']
beethoven,Symphonie1_Opus21_Mvt3,early,classical,Trajectory With Future,0.078852489557935,0.236346863468635,0.307048432932363,35.7543679275542,0.033181596184981,"[3, 4, 5]","['Clarinet', 'Horn', 'Trumpet', 'Oboe', 'Bassoon', 'StringInstrument', 'Flute', 'Timpani']",8,198,['3/4']
beethoven,Symphonie1_Opus21_Mvt4,early,classical,Trajectory With Future,0.092720681535369,0.223443223443223,0.257173728214723,29.939368964369,0.059669421487603,"[3, 4, 5]","['Clarinet', 'Horn', 'Trumpet', 'Oboe', 'Bassoon', 'StringInstrument', 'Flute', 'Timpani']",8,175,['2/4']
beethoven,Symphonie2_Opus36_Mvt1,early,classical,Trajectory With Future,0.069485270776484,0.184668508287293,0.246283782743389,46.8114398588536,0.033392810551034,"[3, 4, 5]","['Clarinet', 'Horn', 'Trumpet', 'Oboe', 'Bassoon', 'StringInstrument', 'Flute', 'Timpani']",8,200,"['4/4', '3/4']"
beethoven,Symphonie2_Opus36_Mvt2,early,classical,Trajectory With Future,0.086282635629141,0.207154088050314,0.280573996607299,31.0394022644023,0.048568426582611,"[3, 4, 5]","['Clarinet', 'Horn', 'Oboe', 'Bassoon', 'StringInstrument', 'Flute']",6,175,['3/8']
beethoven,Symphonie2_Opus36_Mvt3,early,classical,Trajectory With Future,0.068059707982591,0.225339147286822,0.299725182277361,30.0085827987989,0.024762847024298,"[3, 4, 5]","['Clarinet', 'Horn', 'Trumpet', 'Oboe', 'Bassoon', 'StringInstrument', 'Flute', 'Timpani']",8,219,['3/4']
beethoven,Symphonie2_Opus36_Mvt4,early,classical,Trajectory With Future,0.072641082992247,0.225621118012422,0.327734881345985,23.7258339126138,0.02367918240391,"[3, 4, 5]","['Clarinet', 'Horn', 'Trumpet', 'Oboe', 'Bassoon', 'StringInstrument', 'Flute', 'Timpani']",8,152,"['12/4', '4/4', '2/4']"
beethoven,Symphonie3_Opus55_Mvt1_Heroique,middle,classical,Trajectory With Future,0.053819038599456,0.188661800486618,0.305865804519806,43.3376768572838,0.014528213845918,"[3, 4, 5]","['Clarinet', 'Horn', 'Trumpet', 'Oboe', 'Bassoon', 'StringInstrument', 'Flute', 'Timpani']",8,176,['3/4']
beethoven,Symphonie3_Opus55_Mvt2_Heroique,middle,classical,Trajectory With Future,0.080742079885388,0.171966794380587,0.291494203901193,36.1622697826879,0.034042296583246,"[3, 4, 5]","['Clarinet', 'Horn', 'Trumpet', 'Oboe', 'Bassoon', 'StringInstrument', 'Flute', 'Timpani']",8,168,"['1/4', '2/4']"
beethoven,Symphonie3_Opus55_Mvt3_Heroique,middle,classical,Trajectory With Future,0.056599552976237,0.206209850107066,0.328833001267954,22.4743792155557,0.014354131900634,"[3, 4, 5]","['Clarinet', 'Horn', 'Trumpet', 'Oboe', 'Bassoon', 'StringInstrument', 'Flute', 'Timpani']",8,173,"['1/4', '2/4', '3/4']"
beethoven,Symphonie3_Opus55_Mvt4_Heroique,middle,classical,Trajectory With Future,0.068561198837561,0.201595744680851,0.276330979805245,39.7183726903176,0.017230172353863,"[3, 4, 5]","['Clarinet', 'Horn', 'Trumpet', 'Oboe', 'Bassoon', 'StringInstrument', 'Flute', 'Timpani']",8,157,"['5/8', '2/4']"
