Style,Name,Trajectory Type,Kalz Centrality,Global Clustering,Square Clustering,Harmonic Centrality,Betweenness Centrality,Closeness Centrality,Tonnetz,Instruments,Number Of Instr,Tempo,Time Signature
ashover,ashover_simple_chords_1,Trajectory With Future,0.17420064515372755,0.2824074074074074,0.26226255237921586,11.749278499278493,0.12233400402414486,0.10089778436702083,"[3, 4, 5]",[],0,131,"[<music21.meter.TimeSignature 3/4>, <music21.meter.TimeSignature 2/4>, <music21.meter.TimeSignature 3/4>, <music21.meter.TimeSignature 2/4>, <music21.meter.TimeSignature 3/4>, <music21.meter.TimeSignature 3/4>, <music21.meter.TimeSignature 3/4>, <music21.meter.TimeSignature 2/4>, <music21.meter.TimeSignature 2/4>, <music21.meter.TimeSignature 2/4>, <music21.meter.TimeSignature 2/4>, <music21.meter.TimeSignature 3/4>, <music21.meter.TimeSignature 2/4>, <music21.meter.TimeSignature 2/4>, <music21.meter.TimeSignature 3/4>, <music21.meter.TimeSignature 3/4>, <music21.meter.TimeSignature 3/4>, <music21.meter.TimeSignature 3/4>]"
ashover,ashover_simple_chords_12,Trajectory With Future,0.23808270047615018,0.25909090909090904,0.46044881315834874,10.7,0.11572535991140642,0.17992656058751527,"[2, 3, 7]",[],0,230,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
ashover,ashover_simple_chords_13,Trajectory With Future,0.3062677125140212,0.23055555555555554,0.3479882707071204,7.583333333333333,0.08635422548466025,0.2630434782608696,"[3, 4, 5]",[],0,214,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
ashover,ashover_simple_chords_14,Trajectory With Future,0.3865031931942332,0.3611111111111111,0.44103942652329753,4.5,0.04848484848484848,0.3787878787878788,"[3, 4, 5]",[],0,221,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
ashover,ashover_simple_chords_15,Trajectory With Future,0.1925607113345975,0.22356321839080456,0.3095951037878806,11.642857142857137,0.1174812030075188,0.1389331915647705,"[3, 4, 5]",[],0,114,"[<music21.meter.TimeSignature 3/4>, <music21.meter.TimeSignature 3/4>]"
ashover,ashover_simple_chords_18,Trajectory With Future,0.16981997021342027,0.27499999999999997,0.3163634453444787,11.993650793650783,0.12092555331991951,0.10456679470763978,"[3, 4, 5]",[],0,196,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
ashover,ashover_simple_chords_19,Trajectory With Future,0.3243670962690466,0.30666666666666664,0.5154086143741317,6.666666666666666,0.08869395711500974,0.30451127819548873,"[3, 4, 5]",[],0,210,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
ashover,ashover_simple_chords_2,Trajectory With Future,0.2569194845204782,0.26078431372549016,0.3417446293616756,8.899999999999999,0.09185606060606061,0.19393939393939397,"[3, 4, 5]",[],0,172,"[<music21.meter.TimeSignature 2/2>, <music21.meter.TimeSignature 2/2>]"
ashover,ashover_simple_chords_20,Trajectory With Future,0.2634347488175418,0.25,0.3476029485077727,7.583333333333332,0.11396011396011396,0.22354497354497355,"[3, 4, 5]",[],0,226,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
ashover,ashover_simple_chords_21,Trajectory With Future,0.15325449462031393,0.26976744186046514,0.2914798444147447,12.206263181263173,0.12383286647992531,0.08012718600953896,"[3, 4, 5]",[],0,196,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
