Composer,Name,Style,Trajectory Type,Kalz Centrality,Global Clustering,Square Clustering,Harmonic Centrality,Closeness Centrality,Tonnetz,Instruments,Number Of Instr,Tempo,Time Signature
haydn,op01n0-01,classical,Trajectory With Future,0.15107701829532277,0.23366013071895422,0.2950283575731065,11.71551226551226,0.06970524638670764,"[3, 4, 5]","['Viola', 'Violoncello', 'Violin']",3,217,['2/4']
haydn,op01n0-02,classical,Trajectory With Future,0.12368896257039722,0.195565749235474,0.3468149146435735,20.652777777777786,0.06691244239631337,"[3, 4, 5]",[],0,208,['3/4']
haydn,op01n0-03,classical,Trajectory With Future,0.17389610357545945,0.21595744680851064,0.3198146144579345,13.543650793650787,0.08975076138976941,"[3, 4, 5]",[],0,239,['2/2']
haydn,op01n0-05,classical,Trajectory With Future,0.16051190956301617,0.247463768115942,0.2939719384854206,14.287770562770557,0.09157509157509157,"[3, 4, 5]",[],0,233,['2/4']
haydn,op01n1-01,classical,Trajectory With Future,0.16959832073135234,0.25248226950354613,0.3269757072720015,16.43816738816739,0.12102493708533515,"[3, 4, 5]",[],0,217,['6/8']
haydn,op01n1-02,classical,Trajectory With Future,0.1883765767630615,0.19999999999999998,0.3244896111661718,12.549999999999999,0.10754458161865568,"[3, 4, 5]",[],0,134,['3/4']
haydn,op01n1-03,classical,Trajectory With Future,0.1527165169726804,0.24374999999999997,0.3317699611143106,15.306274281274275,0.07899203551377464,"[3, 4, 5]",[],0,231,['4/4']
haydn,op01n1-04,classical,Trajectory With Future,0.25053027935504546,0.27166666666666667,0.367508150185218,10.233333333333333,0.18512820512820513,"[3, 4, 5]",[],0,147,['3/4']
haydn,op01n1-05,classical,Trajectory With Future,0.1716655224332796,0.2175675675675676,0.246322648810912,12.491702741702735,0.10504985004458134,"[3, 4, 5]",[],0,214,['2/4']
haydn,op01n2-01,classical,Trajectory With Future,0.13113091419974626,0.22320675105485233,0.2806114931478636,17.202872127872116,0.06229358339230951,"[3, 4, 5]",[],0,227,['3/8']
haydn,op01n2-02,classical,Trajectory With Future,0.1891274429380835,0.20781249999999998,0.2809702460140031,12.559523809523805,0.13742313742313741,"[3, 4, 5]",[],0,228,['3/4']
haydn,op01n2-03,classical,Trajectory With Future,0.21096907710656038,0.21555555555555553,0.28682414259648914,13.576190476190476,0.165746945210879,"[3, 4, 5]",[],0,235,['4/4']
haydn,op01n2-04,classical,Trajectory With Future,0.15177787148925287,0.22040229885057472,0.31337690675708413,13.956854256854253,0.07200685371599914,"[3, 4, 5]",[],0,158,['3/4']
haydn,op01n2-05,classical,Trajectory With Future,0.21743806083646117,0.2779761904761905,0.3539117301724735,12.633333333333333,0.1616407982261641,"[3, 4, 5]",[],0,223,['2/4']
haydn,op01n3-01,classical,Trajectory With Future,0.12029057061014528,0.20968253968253966,0.2706909167998029,23.825060637676746,0.059903615290276886,"[3, 4, 5]",[],0,235,['3/4']
haydn,op01n3-03,classical,Trajectory With Future,0.1600706858341353,0.20208333333333334,0.2659860191674168,18.276984126984132,0.10192677528212199,"[3, 4, 5]",[],0,234,['2/4']
haydn,op01n3-04,classical,Trajectory With Future,0.16615966949855898,0.19093567251461988,0.270619032484857,20.62857142857143,0.13215339233038348,"[3, 4, 5]",[],0,236,['3/4']
haydn,op01n3-05,classical,Trajectory With Future,0.14939753340348644,0.2522598870056497,0.3095508541747803,14.304004329004323,0.07384775141784487,"[3, 4, 5]",[],0,217,['3/8']
haydn,op01n4-01,classical,Trajectory With Future,0.14350967627482408,0.22979166666666667,0.3008093875286679,19.191616716616714,0.0727052670254382,"[3, 4, 5]",[],0,228,['3/8']
haydn,op01n4-02,classical,Trajectory With Future,0.13272633785265522,0.17983539094650206,0.3045937211126771,20.29839882339882,0.07955541026479242,"[3, 4, 5]",[],0,208,['3/4']
haydn,op01n4-03,classical,Trajectory With Future,0.1411400741057259,0.21690821256038648,0.2552557627520551,21.23650793650794,0.11441296548311271,"[3, 4, 5]",[],0,226,['4/4']
haydn,op01n4-04,classical,Trajectory With Future,0.14897111100956506,0.21794871794871798,0.33818643416262295,14.420238095238089,0.07333220166355457,"[3, 4, 5]",[],0,200,['3/4']
haydn,op01n4-05,classical,Trajectory With Future,0.13011221363108808,0.21024096385542168,0.2698822076692124,19.0374322285229,0.058974696311888786,"[3, 4, 5]",[],0,229,['2/4']
haydn,op01n6-01,classical,Trajectory With Future,0.12484229113317628,0.27265917602996254,0.29757653234156783,16.44852727326858,0.04158879508496058,"[3, 4, 5]",[],0,226,['6/8']
haydn,op01n6-02,classical,Trajectory With Future,0.17230971516500676,0.2609929078014185,0.30195194959653815,11.342460317460315,0.0781593247774309,"[3, 4, 5]",[],0,164,['3/4']
haydn,op01n6-04,classical,Trajectory With Future,0.13614686344837795,0.1578231292517007,0.2678417970158622,24.556136755401468,0.07265628144749024,"[3, 4, 5]",[],0,173,['3/4']
haydn,op01n6-05,classical,Trajectory With Future,0.20452736731610427,0.23619047619047617,0.29993941619507347,14.702380952380949,0.14696160691584031,"[3, 4, 5]",[],0,221,['2/4']
haydn,op09n2-01,classical,Trajectory With Future,0.12222028506307837,0.22682539682539682,0.30181420147455507,28.19094516594517,0.09722637559808613,"[3, 4, 5]",[],0,220,['4/4']
haydn,op09n2-02,classical,Trajectory With Future,0.1408657903093113,0.27342995169082124,0.3416703816604823,12.307611832611832,0.05718636769416584,"[3, 4, 5]",[],0,154,['3/4']
haydn,op09n2-03,classical,Trajectory With Future,0.15777393598520353,0.19635416666666666,0.28414976809197856,22.174603174603178,0.12652618827504863,"[3, 4, 5]",[],0,136,"['4/4', '3/4']"
haydn,op09n2-04,classical,Trajectory With Future,0.11266533216679958,0.18146551724137933,0.28177220134184894,20.19956762385844,0.04465028778437502,"[3, 4, 5]",[],0,231,['4/4']
haydn,op17n2-01,classical,Trajectory With Future,0.09991925981438717,0.21752136752136755,0.2836369617770407,29.559089517293867,0.06192154775354131,"[3, 4, 5]",[],0,224,['4/4']
haydn,op17n2-02,classical,Trajectory With Future,0.1829102644175722,0.23632478632478632,0.3162868765107125,14.057539682539677,0.11434906556857777,"[3, 4, 5]",[],0,125,['3/4']
haydn,op17n2-03,classical,Trajectory With Future,0.09791230150626284,0.22144308943089427,0.27835271679849205,27.763628834508904,0.03686513816968869,"[3, 4, 5]",[],0,179,['4/4']
haydn,op17n2-04,classical,Trajectory With Future,0.09918816197937577,0.23995433789954337,0.28455258512124365,20.821785129429088,0.031586674121520664,"[3, 4, 5]",[],0,227,['2/4']
haydn,op17n3-01,classical,Trajectory With Future,0.12846729356648726,0.24265873015873016,0.3260815844540288,21.462659562659567,0.07768643503952546,"[3, 4, 5]",[],0,239,['2/4']
haydn,op17n3-02,classical,Trajectory With Future,0.18322206033769853,0.21341463414634146,0.3368318838776962,16.88333333333334,0.1619105444242056,"[3, 4, 5]",[],0,235,['3/4']
haydn,op17n3-03,classical,Trajectory With Future,0.10274691583933825,0.2351851851851852,0.31265151704583016,20.96688089994119,0.035058261222704695,"[3, 4, 5]",[],0,227,['3/4']
haydn,op17n3-04,classical,Trajectory With Future,0.12255006203223244,0.1945017182130584,0.2945212445734437,21.357047729532265,0.05680196454055722,"[3, 4, 5]",[],0,234,['4/4']
haydn,op17n5-01,classical,Trajectory With Future,0.12670481397354533,0.16879432624113475,0.22043090871544865,26.558283383283385,0.09516735987324222,"[3, 4, 5]",[],0,213,['4/4']
haydn,op17n5-02,classical,Trajectory With Future,0.14150067096009197,0.24259259259259258,0.34773132664109013,14.614163567322988,0.05245795870795871,"[3, 4, 5]",[],0,167,['3/4']
haydn,op17n5-03,classical,Trajectory With Future,0.13003933143753987,0.2061056105610561,0.3350630673545719,24.21225749224977,0.0724181132184782,"[3, 4, 5]",[],0,136,['3/4']
haydn,op17n5-04,classical,Trajectory With Future,0.12079963866562758,0.23883333333333334,0.30473697829849866,18.401278193770455,0.047689427529805886,"[3, 4, 5]",[],0,151,['2/4']
haydn,op17n6-01,classical,Trajectory With Future,0.08253256962433204,0.21205357142857142,0.29501680536329467,24.776804610159463,0.027748916533280914,"[3, 4, 5]",[],0,245,['6/8']
haydn,op17n6-02,classical,Trajectory With Future,0.1588069030033346,0.22757575757575757,0.28333339208678604,15.010545010545012,0.07578553421524548,"[3, 4, 5]",[],0,173,['3/4']
haydn,op17n6-03,classical,Trajectory With Future,0.13636657057978782,0.19888888888888887,0.2832192253396462,21.792099567099573,0.1015239719678149,"[3, 4, 5]",[],0,195,['4/4']
haydn,op17n6-04,classical,Trajectory With Future,0.09294098136958433,0.19818481848184819,0.28070882181820855,20.09733221666554,0.021710398125694006,"[3, 4, 5]",[],0,238,['2/4']
haydn,op20n1-01,classical,Trajectory With Future,0.07443213919446365,0.1983221476510067,0.31357380039594385,25.696750471750477,0.028647424187066128,"[3, 4, 5]",[],0,226,['4/4']
haydn,op20n1-02,classical,Trajectory With Future,0.1817968324321185,0.2062015503875969,0.333740917718921,15.75039682539682,0.11926977687626776,"[3, 4, 5]",[],0,137,['3/4']
haydn,op20n1-04,classical,Trajectory With Future,0.10745316872588295,0.22011494252873562,0.30839936610933594,21.326831398735433,0.04222583663549759,"[3, 4, 5]",[],0,216,['2/4']
haydn,op20n2-01,classical,Trajectory With Future,0.10642952243093545,0.20562130177514792,0.2728017489191856,31.951510356277506,0.054439777625875686,"[3, 4, 5]",[],0,212,['4/4']
haydn,op20n2-03,classical,Trajectory With Future,0.16115469471562424,0.2542857142857143,0.3379463093528036,17.141677766677766,0.07528679758895586,"[3, 4, 5]",[],0,115,['3/4']
haydn,op20n2-04,classical,Trajectory With Future,0.07597055078346256,0.19250871080139373,0.27340087901517945,39.31900939793232,0.04061804761468502,"[3, 4, 5]",[],0,239,['6/8']
haydn,op20n3-02,classical,Trajectory With Future,0.12645166986078915,0.22575757575757577,0.3121905636017368,23.481732156732157,0.08808844922897877,"[3, 4, 5]",[],0,235,['3/4']
haydn,op20n3-03,classical,Trajectory With Future,0.09963102213264369,0.18829365079365076,0.2674314696653153,30.51807142357356,0.05000044820940343,"[3, 4, 5]",[],0,229,['3/4']
haydn,op20n3-04,classical,Trajectory With Future,0.09005191081644236,0.20669710806697109,0.29650654253048125,31.936177901553542,0.031158516751599263,"[3, 4, 5]",[],0,215,['4/4']
haydn,op20n4-03,classical,Trajectory With Future,0.18136851914280772,0.30490196078431375,0.298570625373515,11.374278499278494,0.10222472542945649,"[3, 4, 5]",[],0,237,['3/4']
haydn,op20n4-04,classical,Trajectory With Future,0.08532908374527415,0.1950070323488045,0.27733004934153005,29.4238836855626,0.03661594150070842,"[3, 4, 5]",[],0,217,['4/4']
haydn,op20n5-01,classical,Trajectory With Future,0.0786851345633495,0.2015547263681592,0.278484789374492,32.46482330102996,0.03230942002778994,"[3, 4, 5]",[],0,230,['4/4']
haydn,op20n5-02,classical,Trajectory With Future,0.1400348663060942,0.23627450980392156,0.3057539212506775,20.315462315462305,0.07561397078075091,"[3, 4, 5]",[],0,171,['3/4']
haydn,op20n5-03,classical,Trajectory With Future,0.12110154017089547,0.20619047619047617,0.2948567157790111,24.11336718836719,0.07414211485995531,"[3, 4, 5]",[],0,223,['6/8']
haydn,op20n5-04,classical,Trajectory With Future,0.07522686365811532,0.1999413145539906,0.28984610370355585,32.35275535614066,0.027641964954424184,"[3, 4, 5]",[],0,146,['4/4']
haydn,op20n6-01,classical,Trajectory With Future,0.07882089640226665,0.22278645833333333,0.3157122551382363,22.478344430132037,0.022468887928770512,"[3, 4, 5]",[],0,228,['6/8']
haydn,op20n6-02,classical,Trajectory With Future,0.11157141280138516,0.1848360655737705,0.28133633728844587,27.843038905538908,0.07896596173864268,"[3, 4, 5]",[],0,230,['4/4']
haydn,op20n6-03,classical,Trajectory With Future,0.2529090237625724,0.21862745098039213,0.3000975182720884,9.25,0.21548821548821548,"[3, 4, 5]",[],0,148,['3/4']
haydn,op20n6-04,classical,Trajectory With Future,0.08958228694779119,0.24595103578154426,0.28933311227827413,18.461725876624605,0.025274118609439913,"[3, 4, 5]",[],0,238,['4/4']
haydn,op33n1-01,classical,Trajectory With Future,0.0980410782648214,0.20091074681238616,0.3331118313141856,33.465656604130864,0.05458953128759993,"[3, 4, 5]",[],0,213,['4/4']
haydn,op33n1-02,classical,Trajectory With Future,0.1753670445398096,0.29740740740740745,0.4418236485700423,14.765945165945162,0.10391634734039099,"[3, 4, 5]",[],0,118,['3/4']
haydn,op33n1-03,classical,Trajectory With Future,0.1540022019234874,0.1818840579710145,0.272471783354769,22.91944444444445,0.11719383617193836,"[2, 3, 7]",[],0,230,['6/8']
haydn,op33n1-04,classical,Trajectory With Future,0.10382297346999256,0.19683098591549292,0.29046697763947676,23.61151609828081,0.04786939338348457,"[3, 4, 5]",[],0,234,['2/4']
haydn,op33n2-01,classical,Trajectory With Future,0.09969245371535439,0.18096846846846845,0.26453276675886805,29.366721595398065,0.0682037685825206,"[3, 4, 5]",[],0,222,['4/4']
haydn,op33n2-02,classical,Trajectory With Future,0.14873234389332377,0.15343137254901962,0.26522765374503016,20.127727827727828,0.09288226774260294,"[3, 4, 5]",[],0,198,['3/4']
haydn,op33n2-03,classical,Trajectory With Future,0.11650802784643598,0.18869565217391307,0.3010290251904762,17.12380952380952,0.048747118466180635,"[3, 4, 5]",[],0,217,['3/4']
haydn,op33n3-01,classical,Trajectory With Future,0.09059914892455237,0.17877959927140255,0.2909335874850215,32.21128156758962,0.05682914423026327,"[3, 4, 5]",[],0,205,['4/4']
haydn,op33n3-02,classical,Trajectory With Future,0.19168433691479042,0.21260162601626018,0.3810992346498782,11.483333333333334,0.10302256279267773,"[3, 4, 5]",[],0,233,['3/4']
haydn,op33n3-03,classical,Trajectory With Future,0.09843163840553772,0.20101010101010103,0.3059615973342933,24.841822066822072,0.05092286683406017,"[3, 4, 5]",[],0,215,['3/4']
haydn,op33n3-04,classical,Trajectory With Future,0.1262902340070872,0.19131944444444446,0.25691409800682846,22.965837348925582,0.0693851819390948,"[3, 4, 5]",[],0,233,['2/4']
haydn,op33n4-01,classical,Trajectory With Future,0.09618146755824787,0.18980392156862744,0.3066048030536887,27.378592483365725,0.040408027560252684,"[3, 4, 5]",[],0,227,['4/4']
haydn,op33n4-02,classical,Trajectory With Future,0.13272506544578083,0.19035087719298247,0.3739386298770045,11.52738095238095,0.05109666443890881,"[3, 4, 5]",[],0,137,['3/4']
haydn,op33n4-03,classical,Trajectory With Future,0.12592651204765445,0.228,0.3277390727701642,21.71427183927184,0.07059688687339136,"[3, 4, 5]",[],0,231,['3/4']
haydn,op33n4-04,classical,Trajectory With Future,0.0829239490514817,0.20405982905982906,0.29460486930535407,24.11807561894891,0.029913035878162828,"[3, 4, 5]",[],0,230,['2/4']
haydn,op33n5-01,classical,Trajectory With Future,0.08914591360319365,0.21986531986531985,0.24434155562663176,37.042842944116984,0.054043252426508474,"[3, 4, 5]",[],0,224,['2/4']
haydn,op33n5-02,classical,Trajectory With Future,0.11942850824365873,0.17548076923076922,0.2734443705472926,26.296139971139986,0.0899143995253835,"[3, 4, 5]",[],0,229,['4/4']
haydn,op33n5-03,classical,Trajectory With Future,0.2302407617712315,0.24629629629629626,0.348695287955574,14.000000000000004,0.21257861635220127,"[3, 4, 5]",[],0,213,['3/4']
haydn,op33n5-04,classical,Trajectory With Future,0.08699033007458683,0.2405643738977072,0.3143648400552328,28.835603965970503,0.035125763630563314,"[3, 4, 5]",[],0,230,['6/8']
haydn,op33n6-01,classical,Trajectory With Future,0.08684253781311697,0.1974036850921273,0.29748544928068565,25.666429030506258,0.03351871711100581,"[3, 4, 5]",[],0,224,['6/8']
haydn,op33n6-02,classical,Trajectory With Future,0.1600162513315788,0.15483870967741936,0.2603088350709149,21.76190476190477,0.1304184931250234,"[3, 4, 5]",[],0,217,['4/4']
haydn,op33n6-03,classical,Trajectory With Future,0.1746899885650996,0.20984848484848487,0.3292884831752842,13.269047619047614,0.09536746778126089,"[3, 4, 5]",[],0,120,['3/4']
haydn,op33n6-04,classical,Trajectory With Future,0.12162844748793042,0.2200680272108843,0.37811350686644235,21.367549117549117,0.061482795811154026,"[3, 4, 5]",[],0,213,['2/4']
haydn,op42-01,classical,Trajectory With Future,0.10907230385667875,0.19092970521541947,0.278085941284328,29.153237256827943,0.0565893390051277,"[3, 4, 5]",[],0,226,['2/4']
haydn,op42-02,classical,Trajectory With Future,0.13292095180105992,0.242798353909465,0.31468330246936,18.857825507825506,0.06884453084253947,"[3, 4, 5]",[],0,177,['3/4']
haydn,op42-03,classical,Trajectory With Future,0.18302681354897823,0.17896825396825397,0.27537587118857954,15.600793650793646,0.12737743426536333,"[3, 4, 5]",[],0,153,['2/2']
haydn,op42-04,classical,Trajectory With Future,0.11274979270137173,0.2041994750656168,0.4010090247863327,13.790523365523361,0.03742963229129237,"[3, 4, 5]",[],0,215,['2/4']
haydn,op50n1-01,classical,Trajectory With Future,0.0987230963244351,0.2254601226993865,0.29977803817119103,29.047107569192605,0.04109453904873752,"[3, 4, 5]",[],0,174,['4/4']
haydn,op50n1-02,classical,Trajectory With Future,0.17410203187653492,0.19052287581699343,0.29195441872596434,19.721428571428575,0.14225560487083191,"[2, 3, 7]",[],0,233,['6/8']
haydn,op50n1-03,classical,Trajectory With Future,0.13605697076543338,0.20104166666666665,0.2904079159350051,22.127777777777787,0.09520841596313294,"[3, 4, 5]",[],0,128,['3/4']
haydn,op50n1-04,classical,Trajectory With Future,0.08583169688544467,0.20412541254125413,0.30934426478305205,30.626425635870465,0.03942218653063097,"[3, 4, 5]",[],0,226,['2/4']
haydn,op50n2-01,classical,Trajectory With Future,0.08766493975589575,0.19827586206896552,0.27286312401070706,33.1813803843216,0.04484251686405372,"[3, 4, 5]",[],0,153,['3/4']
