Composer,Name,Style,Trajectory Type,Kalz Centrality,Global Clustering,Square Clustering,Harmonic Centrality,Closeness Centrality,Tonnetz,Instruments,Number Of Instr,Tempo,Time Signature
haydn,op01n0-01,classical,Recursive Trajectory,0.1377102590467035,0.2183333333333333,0.2969823918371331,15.403857253857245,0.07331353594069207,"[3, 4, 5]","['Viola', 'Violoncello', 'Violin']",3,217,['2/4']
haydn,op01n0-02,classical,Recursive Trajectory,0.1450737270835434,0.19962121212121212,0.35571762710298105,20.60198412698413,0.08357743097238896,"[3, 4, 5]",[],0,208,['3/4']
haydn,op01n0-03,classical,Recursive Trajectory,0.16434150187433777,0.19970238095238096,0.31793730029884654,12.776190476190475,0.08118463290877083,"[3, 4, 5]",[],0,239,['2/2']
haydn,op01n0-05,classical,Recursive Trajectory,0.17912641195635118,0.24572649572649574,0.28813536457207956,13.32261904761904,0.10476674163825002,"[3, 4, 5]",[],0,233,['2/4']
haydn,op01n1-01,classical,Recursive Trajectory,0.13356350029656008,0.22196969696969696,0.3267745827950155,16.33420393720636,0.04361370716510904,"[3, 4, 5]",[],0,217,['6/8']
haydn,op01n1-02,classical,Recursive Trajectory,0.14202885038670596,0.10258215962441314,0.3339856079866542,14.031349206349201,0.06827423167848701,"[3, 4, 5]",[],0,134,['3/4']
haydn,op01n1-03,classical,Recursive Trajectory,0.16360376814356756,0.24262820512820513,0.3423679165550232,16.130566655566653,0.09249973327643231,"[3, 4, 5]",[],0,231,['4/4']
haydn,op01n1-04,classical,Recursive Trajectory,0.16329822284614298,0.13066666666666665,0.3717158321760734,9.73333333333333,0.07149930679342444,"[3, 4, 5]",[],0,147,['3/4']
haydn,op01n1-05,classical,Recursive Trajectory,0.18141867989114777,0.255050505050505,0.3029792394510315,12.057936507936502,0.1166951566951567,"[3, 4, 5]",[],0,214,['2/4']
haydn,op01n2-01,classical,Recursive Trajectory,0.1260420333607113,0.20280701754385963,0.2712052882040366,20.035422960651566,0.05590894979159648,"[3, 4, 5]",[],0,227,['3/8']
haydn,op01n2-02,classical,Recursive Trajectory,0.19259152251188824,0.22037037037037036,0.27722565292792084,13.589321789321788,0.11981611893583724,"[3, 4, 5]",[],0,228,['3/4']
haydn,op01n2-03,classical,Recursive Trajectory,0.19661747941531105,0.2296296296296296,0.3010131762416075,14.270238095238092,0.13374822578884157,"[3, 4, 5]",[],0,235,['4/4']
haydn,op01n2-04,classical,Recursive Trajectory,0.13285711637185,0.24282407407407408,0.307048509546291,13.96620601620601,0.05341880341880342,"[3, 4, 5]",[],0,158,['3/4']
haydn,op01n2-05,classical,Recursive Trajectory,0.15552536994342317,0.21772486772486774,0.3197303346863051,12.998015873015868,0.06515254237288136,"[3, 4, 5]",[],0,223,['2/4']
haydn,op01n3-01,classical,Recursive Trajectory,0.1102717794072898,0.22540322580645158,0.2647574101782207,24.729113002617883,0.04849644667121852,"[3, 4, 5]",[],0,235,['3/4']
